Paiwan,English
nu ita itung tjelu a iday saka lima puluq nu tjelu kuzulj,One piece of clothing is dollars three pieces for dollars
aicu a sikisudjuan na mamazangiljan ta qaqetitan mamav a isangas lja,Regarding the marriage proposal and negotiation the ceremony is the same for civilians and the chiefs
nu tja ljekedriyen a zemululj nu cuayanga meliyav aya tatuluan ni sinsi,Teachers always say Little things add up to a lot
paramur,too many
puyta,once
nutima inikatjen aya nu papungadan itjen,We cannot be so capricious as to think that this is the right name
idis,female name
izua kakudan a matazua,What is the custom
kelemen sun makelem sun,You will get hit
cuni ca cinukulu nimadju namatucu,Look at these He made them just like this
ljakua na kirivuan a tja matjaljaljak a numayatazua itjen,But when we do that our elders scold us
avan nutjasi valasa aravac kasicuayan,That is why there were so many roundworms in the past
izua za pinu djilungan a qataqata na qaliqali,Like some peoples glazed beads are placed in ceramic bottles
a tja sikac a nia sikac tazua,Our economy at that time
mareka ui na u dukiusi tiamadju,They are all my classmates
tima zuwa uqaljay,Who is that man
a,Ah
anema nemanga a su pinizua,What is that thing you put there
inika makuda,It does not matter
tutu,breast
kemali,dig
nitiyaw a seleman,Tomorrow evening
avanecu a djamain tucu pacuni,This is the menu for your reference
avan a zua na semupuljuan,This is called mourning
aw titjen a paiwan aw aw timitja Paiwwan kiayain ridraridren sa situzung ta drukudrukung Akay,We Paiwan people collect it to make the hilts of kayaks
pai aicua tia kamaljiamen imazai,Especially us
avan zua kacuin a satja a pasa mamazangiljan a qemepuqepu,And then the tax money will be collected at the boss house
kimay tazua anema,It is like there is some
uiljakua mavulu lja,Yeah But it is all dried up
sa qudjalj anga ka namen,It was pouring rain when we played
pinuanemaan,What is the stuffing
izua,Oh yeah
teqic,netting needle
tji mareqaliqali aya nanguaqa taqedanga itjen aya,The boys say it is time for us to go to bed
katjumaq tji sa Muakay aya alapen ni sakenikening aya,Mulcahy was in the house when she came in and she got her hands on Scanning
azua ku tawki nu aya pazaing tazua xx azua senay na pairing,Sometimes my boss plays songs from the opera songs from the flatland's
nu mangetjez i pana auta,And then we went to the river
ru iniqa makaya tja sipaqiyayan a papakiyav acuatja mamazangiljan aya ti ritjag,Tribal chiefs not allowed to participate in lottery for household division says mayor
a sikudan naza izua ta pinualjakan angata qau,This is how the birthplace looks like
mapacun ita su ljelet a su,Your chin is visible
izua uta mapulju a paquziquzip ta gung a pita qinceng a pugungan sa padjuluan anga ta cemel ta nanemanga a sipakakan a pasa pugungan,A small number of families also keep cattle in pens which are fed with grain and grass and can be used at any time
pinacikel na ku mama,My mom returned it
a sema sagaran katua sema tjukuvulj a zuma i tjailjaking a zuma izua na sema manga uta,Some of them were moved to Devon Sega or dispersed to Maolin Township
biuing,Hospitals
au nu venaivay a u kina,And then my mom tanned it
inika ken a paqenetj anga a kemacu tua siquliqulip,I forgot to bring the eraser
au aicu a milimilingan namaya tua kinaudaljan na caucau,Is this mythological story about the increase of human beings
kemesa,Cooking
kinisenayan na vatu na qayaqayam aya ken,That is where the dogs and the birds are blessed
tuki makudakuda a tadjaljeng aya,How many of these are there
qudis kudjis mumu,peach
nu kilavay tua kalja zalangezangan ru vaik amen a sema qinaljan,We will all go back to the tribe during the summer vacation
ka sicuayan vitan ta cemas kiljavaljava ta cemas ta aicu a ljimaljimalji a sikudakuda,It used to be a sacrifice to wait for the gods
paka,from
tucuing,It works like this
aw nasini siukai amen a pasa taitu tazua anga tucu lja,Introduced us to Taitung Vocational Training now known as the Vocational Training Center
sinsi sakedju a ku djiyalj pasa mabingzu,Teacher I have a stomachache I need to go to the restroom
aligu iyana nu pakakivaqu ulja ken a pusaladj,The millet is not yet harvested I can come and help
ailj,yam
kumaljiki izua varung nuamarekaqali aniya sikataqaljan,Even if there are friends relatives or villagers who want to run for the election
masasasasa itjen tua tja,Comfort us
izua su tenget nu pasuvililj ta cengelj,Are you free this afternoon I would like to visit you is that okay
ika qati liaw ravac ika makesa djuadjuay,Do not put too much glutinous rice Glutinous rice will not be cooked
a qaljuqaljupen aya,executive search
muakai uri semainu sun,Muakai where are you going
pazangal,emphasize
dinumulj a ipu,mound
tjengelay,I like it
patarevan,significance
tucu nu maitucu a aya lja,The water is smaller now
mazelizelimaluljay,with much toil
kaw na patjasepatj aza puliquma niamadju,Then they found four places
dikinay tiamadju a masengseng tua zuma anga sengsengsngan,Prohibit all work
ciki,ugly guy
madjumak,find
kumalji a i veljeluan na kinapalak nucu a,Streams were also affected by the storms of
uri tjemauci el aen tua milimilingan nua,The myths to be told are
maitazuayanan,still
makatuaanemaitjen,What about us
tjinepanan,River Fishing Catch
ti savan a ku ngadan pai saqumaqanu,My name is savant come in
qemaljup a macemecemel aya,He said he was going hunting in the mountains
tazua nansai sun kazua ka semamaza i,Oh it is a sanitation building How old were you then
lemakeculj,cross over
izuakitjaula anga ta,They are both college graduates
meqaca,grow up
ulu,head
azua,There it is
maliljai anga sun,Have you lost weight
pasakuyakuya mapuljupulju,The sadness of the bad things in the past
kiciur sun a veneli ta inpic,Let us go buy a pen
ta pinucekeljan a matjarivavav aya,Wedding of the tribe above
madraudraw anga ken a kemacu ta siquliqulip,I forgot to bring the eraser
aza inuanga ti ina ti ama nuayain nu qivu a caucau uzi tjailiguc tjakaljavaljava aya nu qivu,Because they asked the tribesmen where are our parents And they answered that they would never get there and they waited
djavadjavai a masantalj ti Vais a ku ngadan,Hello everyone my name is Vais
kina,mom
vaik aken a semacasaw,I stepped outside
vaik itjen a pacun ta tungbu,We are going to see dragonflies
sa ikaken a saigu a seman djamay ta kemuda anga,I am not much of a cook or anything like that
a tja palisian a paiwan nakemasi vavulung uzai a pulima cavilj saka puita a maljeveq katua puita cavilj sa puita a masalut,Our traditional Paiwan festivals include the Five Years Festival which is held every five years and the Harvest Festival which is held every year
ui nanguaq ljakua pacikelu anga nu tiyaw tjanuaken,Okay but you have to give it back to me tomorrow
masupudek,Umbilical Cord Loss
nu izua za azatjazatjan a senguanguaq maʼazuazua men,If there is a flat area that is more walkable that is where we girls will go
tuna geminagalj aravac iqa nanguaq avaik aya,Is it really dangerous It is true they said we cannot go in there
sekulilj aken ka kivangavangavang aken ta kadjaman,In the morning I fell down while playing
keri a qayaqayam mekeri,Fewer birds
kakedriyan anan aken na ru vaik amen katua ku kama a ma gadu a kitjulja,When I was a child I used to go to the mountains with my father to catch eels
aza mareka azanu izuaza masan liyaliyav a kapalisiyan,There are many different types of rituals
au kineljan tu i inu a ainu,I know where it is right now
idu tja pucunaw cu,Come on Let us see this
tjengelay aken tua aicu a siqunu katua padriyuk,I want this knife and this pot
avan zua mekakaka lja giling,These are the children of Giling
pai tiamen i pasamazai tja sepayua matja sepatj ania mazazangiljan,In Paiwan where we live we have four leaders
pai cuacuai anga pagalju,And then after a long time
sevecu a pasa sangas mapacun a siljevavavan ta basu,If you go straight ahead you will see the bus stop
tja kudai ti aken e rusiaqan aken rusiaqan aken ru rumaljan aken,I cannot help it I am shy I am formal
sa asicuayan a caucau nu pualja ui pairamatan pairamatan sa e ayai paitungi ui,Because when a human being is born he is bathed and dressed
tja tazuavaw,That is all for now
sanatja djaljudjaljun i suimung,That is how we get to the Watergate
basang aicu a sangasangasan,Hello Auntie First of all
tjemaletjal,chop
semagakku tau situcuan a gakku,I have just gotten to my current school
vuvu,Our
ta sicuacuayan,previously
manu saqetju anan za u tjialj,My stomach still hurts
tucuanga seavauanga,It is easy now
au ecin nimadju sa pivavaven ta cililing a pasa umaq,He was killed and taken home in a moving truck
a namaka kisiya sun manu namaka hikuki sun a sema Kacedas,Are you going to Taitung by train or by plane
makeljang tu tima tja sikiljivak tu tja paqaljayan ta tia kinaqinaljanan,It is a spiritual center for the entire tribe
ayatu izuanu kilangda men tusa imazaazaizua nu kinaizuanan,Because sometimes we hear it said that the place where you live
sa alapen nimadju a patjumaq sa patjumaqi sa paʼiramatayin nimadju sa patutuianga nimadju ui,Then they took him home bathed him and fed him with mothers milk
kemasiyuzi angata temagilj,Starting at exactly four of the clock in the afternoon
kicaquan,learn
ari tja qeciyaw aya tiamadju aya,Say Come and kill them
kelju sasavu ki zepezepani ki ljavarani aya tji sakenikening,Come out and speak to them Sarkozy said so
ti sedjam a ngadan nimadju,His name is sedan
tjelu a puluq a liaw cavilj a u kinasaluan tua cemas,I have been a believer for over years
aru patjezuanga a tja zikan mai yanang,It is almost time for class to end Wait a little longer
kemuda cu kemuda ya en vaik a en na mavilad au,What is going on here I am running away
semaqaljaqaljay,Forecast
sa nu izua zazua,If there is a
a gemalju a lemaing,Slow down a little bit in the chase
angata,It is real
djalaw,quickly
niya tjaina niya tjama aya tjisa kenikening aya,Sarkozy would rather say it was your mother and your father
ui uri ljemaljeqel aravac nu icavilj emitung itjen a pakaliav,Yes it will be very cold in winter next year so you need to put on extra layers
sau qaqivu kaika mavanamnga nua sigacalj aza maraljak,Go ahead and tell Mulcahy that maybe she is the reason you got up
namakuda kinaqadavan tucu,How is the weather today
kumalji a masipicul a viqeviq,No matter how big the waves are
nekanga nu kasaljingay tu na garavagavagav anga tay kacauwan aya,No more love for all the moving animals in the ecology
aicua,This health center is also a police station
akiken na uri pasainu aya tji Muakakay,Mokai said where I should go
uri veneli aken tu drusa ta djiuq,I want to buy two bottles of oil
kipapaulingavu,take care
aru sazuan a penangapangalj tua tjuruvu a taqaljaqaljan tjayau,Go and distribute it to so many villagers
e a ramaljemaljen e tjemumalj tu aya nu pawtez a vuciyar a hana nucu a rari,The old man said that when the Mistletoe blossomed later
saiguanga,I have learned
pu drusa itjen a mavesuan,We will have two group hunts
emesa itjen i vavua paʼan ta tja rinangez,Cooking for the people we hired to help us
qadjav,do not know
rivadrek,caring
tjara,certain
qiljaing niamadju ika si papacung,Hide it from the world
aru qemeci tazuai tjavaran,They are coming to attack Davalan
uyangata sa puisiq u ayaing za u kina,It is true when I told my mom I had to pee
na mare kiljivaljivak amen a tacemekeljan,We love each other as a family
payuan,Paiwan
izua mamaw tu tazua aya,There is a room just like that one has a room
nua marekakaka,All the relatives
aza tja siqaljup kuwang a turivecan dikinay vavayan a cemelcel,Our hunting weapons are untouchable to women
migacalj,get up
paljiljian paljiljian malekutj a en tu matjani lja,I was afraid I would fall
igalju,slowly
masalu tjanumun a lemangdanga taza u tjaucikel amin,Thank you for listening to me End of story
masimaza i valuluq semamaza i qaumaqang,From Farruk to Omaan
ruidjum aza aljas nimadju,It is got very sharp teeth
neka nu ku inpic ni Keljeng cu a inpic,I do not have one either This is Keljengs
nu mekudrar qadjaw ka sepaveli aya,Maybe you can trade it when it grows up
tja sikuda,What is it for
izua zuma quljav,Do you have another color
nupaka pavanaw,After the shower
tua si djaljunane i Litjagulj nua za mareqaliqali,The boys are trying to get straight to the boulder field
